college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Govt.Dental College, Kottayam",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,17,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,19,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,27,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,74,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,PROSTHODONTICS AND CROWN & BRIDGE,MUSLIM,86,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,93,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,94,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,119,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,129,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL AND MAXILLOFACIAL SURGERY,EZHAVA,203,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,PERIODONTOLOGY,STATE MERIT,232,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PROSTHODONTICS AND CROWN & BRIDGE,BACKWARD HINDU,238,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PERIODONTOLOGY,STATE MERIT,273,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORAL MEDICINE AND RADIOLOGY,EZHAVA,312,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PERIODONTOLOGY,MUSLIM,325,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,350,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"KMCT Dental College, Kozhikode.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,384,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"MES Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,389,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Govt.Dental College, Thiruvananthapuram",,CONSERVATIVE DENTISTRY AND ENDODONTICS,LATIN CATHOLIC,391,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,427,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,PUBLIC HEALTH DENTISTRY,STATE MERIT,432,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,440,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,PERIODONTOLOGY,BACKWARD HINDU,457,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,GENERAL-EWS,461,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,466,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"KMCT Dental College, Kozhikode.",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,490,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,532,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,535,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,538,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Govt.Dental College, Kottayam",,CONSERVATIVE DENTISTRY AND ENDODONTICS,GENERAL-EWS,563,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"KMCT Dental College, Kozhikode.",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,583,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,BACKWARD HINDU,596,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Govt.Dental College, Kottayam",,ORAL PATHOLOGY AND MICROBIOLOGY,GENERAL-EWS,605,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Royal Dental College , Palakkad.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,615,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,644,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,714,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,717,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"St. Geregorios Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,751,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,BACKWARD HINDU,760,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Educare Institute of Dental Sciences, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,924,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,926,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"PSM College of Dental Science& Research, Trichur.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,948,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,EZHAVA,951,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,987,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORAL AND MAXILLOFACIAL SURGERY,BACKWARD CHRISTIAN,1105,2025,Kerala CEE,MDS,Round 2,Kerala,Government,State Quota
"Mar Baselios Dental College, Ernakulam.",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,1128,2025,Kerala CEE,MDS,Round 2,Kerala,Private,State Quota
