college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Govt.Dental College, Kozhikode",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,60,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,111,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,119,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,232,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,281,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,PERIODONTOLOGY,STATE MERIT,288,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL AND MAXILLOFACIAL SURGERY,EZHAVA,312,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORAL MEDICINE AND RADIOLOGY,EZHAVA,505,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"KMCT Dental College, Kozhikode.",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,1128,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,1955,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,2067,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,2553,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,2606,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,SCHEDULED CASTE,2670,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORAL PATHOLOGY AND MICROBIOLOGY,SCHEDULED CASTE,3090,2025,Kerala CEE,MDS,Round 3,Kerala,Government,State Quota
"Al-Azhar Dental College, Thodupuzha",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,3186,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Noorul Islam College of Dental Science, Thiruvananthapuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,3637,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,3680,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,SCHEDULED CASTE,3729,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Azeezia College of Dental Science and Research,Kollam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,3737,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Kannur Dental College,Kannur",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,3812,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,3815,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Kannur Dental College,Kannur",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,3892,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,4004,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,4279,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,4301,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,4324,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Kannur Dental College,Kannur",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,4372,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,SCHEDULED CASTE,4428,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Noorul Islam College of Dental Science, Thiruvananthapuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,4706,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Al-Azhar Dental College, Thodupuzha",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,4766,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,4964,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,5320,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
"Kannur Dental College,Kannur",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,5325,2025,Kerala CEE,MDS,Round 3,Kerala,Private,State Quota
