college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Maulana Azad Institute and Dental Science, New Delhi",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,1,2025,MCC,MDS,Round 1,Delhi,Government,All India
"Institute of Medical Science, BHU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,2,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Government Dental College, Kottayam",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN,3,2025,MCC,MDS,Round 1,Kerala,Government,All India
"Faculty of Dental Sciences, KGMU",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,4,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Institute of Medical Science, BHU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,5,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Government Dental College and Hospital, Nagpur",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,8,2025,MCC,MDS,Round 1,Maharashtra,Government,All India
"Institute of Medical Science, BHU",,ORAL AND MAXILLOFACIAL SURGERY,OPEN,9,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Institute of Medical Science, BHU",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,11,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Faculty of Dental Sciences, KGMU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,12,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Faculty of Dental Sciences, KGMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,13,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Institute of Medical Science, BHU",,ORAL AND MAXILLOFACIAL SURGERY,OBC,14,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Government Dental College, Kottayam",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN,15,2025,MCC,MDS,Round 1,Kerala,Government,All India
"Post Graduate Institute of Dental Sciences, Rohtak",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,16,2025,MCC,MDS,Round 1,Haryana,Government,All India
"Faculty of Dental Sciences, KGMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,17,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Post Graduate Institute of Dental Sciences, Rohtak",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,18,2025,MCC,MDS,Round 1,Haryana,Government,All India
"Government Dental College, Kottayam",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN,19,2025,MCC,MDS,Round 1,Kerala,Government,All India
"DR. Ziauddin Ahmad Dental College, AMU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,21,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Faculty of Dental Sciences, KGMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OBC,23,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Lady Hardinge Medical College, New Delhi",,ORAL AND MAXILLOFACIAL SURGERY,OPEN,24,2025,MCC,MDS,Round 1,Delhi,Government,All India
"Institute of Medical Science, BHU",,PROSTHODONTICS AND CROWN & BRIDGE,OBC,25,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"Maulana Azad Institute and Dental Science, New Delhi",,ORAL AND MAXILLOFACIAL SURGERY,EWS,26,2025,MCC,MDS,Round 1,Delhi,Government,All India
"Governemnt Dental College and Hospital, Ahmedabad",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,27,2025,MCC,MDS,Round 1,Gujarat,Government,All India
"Government Dental College and Hospital, Nagpur",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,28,2025,MCC,MDS,Round 1,Maharashtra,Government,All India
"Governemnt Dental College and Hospital, Ahmedabad",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,29,2025,MCC,MDS,Round 1,Gujarat,Government,All India
"Government Dental College, Kottayam",,ORAL AND MAXILLOFACIAL SURGERY,OBC,30,2025,MCC,MDS,Round 1,Kerala,Government,All India
"Maulana Azad Institute and Dental Science, New Delhi",,PROSTHODONTICS AND CROWN & BRIDGE,OBC,33,2025,MCC,MDS,Round 1,Delhi,Government,All India
"Government Dental College and Hospital, Mumbai",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,34,2025,MCC,MDS,Round 1,Maharashtra,Government,All India
"Government Dental College and Research Institute, Bangalore",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,35,2025,MCC,MDS,Round 1,Karnataka,Government,All India
"Faculty of Dental Sciences, KGMU",,PERIODONTOLOGY,OPEN GENERAL,36,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"DR. Ziauddin Ahmad Dental College, AMU",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,37,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"DR. Ziauddin Ahmad Dental College, AMU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,38,2025,MCC,MDS,Round 1,Uttar Pradesh,Government,All India
"S.C.B Dental College and Hospital, Cuttack",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,39,2025,MCC,MDS,Round 1,Odisha,Government,All India
