college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"KMCT Dental College, Kozhikode.",,PERIODONTOLOGY,STATE MERIT,5567,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,5638,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"St. Geregorios Dental College, Ernakulam.",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,5647,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Educare Institute of Dental Sciences, Malappuram.",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,5739,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Educare Institute of Dental Sciences, Malappuram.",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,5762,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,5921,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"PSM College of Dental Science& Research, Trichur.",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,5946,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORAL AND MAXILLOFACIAL SURGERY,EZHAVA,5952,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,6015,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,6095,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Malabar Dental College, Malappuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,LATIN CATHOLIC,6147,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Educare Institute of Dental Sciences, Malappuram.",,PROSTHODONTICS AND CROWN & BRIDGE,SCHEDULED CASTE,6150,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,PERIODONTOLOGY,STATE MERIT,6168,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,6290,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,6295,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Malabar Dental College, Malappuram.",,PEDIATRIC AND PREVENTIVE DENTISTRY,BACKWARD HINDU,6322,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,PROSTHODONTICS AND CROWN & BRIDGE,LATIN CATHOLIC,6368,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,6401,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"MES Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,6442,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Sree Anjaneya Institute of Dental Sciences, Kozhikode",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,6534,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,6734,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,KUDUMBI,6736,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"St. Geregorios Dental College, Ernakulam.",,PROSTHODONTICS AND CROWN & BRIDGE,SCHEDULED CASTE,6830,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,STATE MERIT,6908,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,6921,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Malabar Dental College, Malappuram.",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,6922,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,6936,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,PROSTHODONTICS AND CROWN & BRIDGE,BACKWARD HINDU,6980,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PSM College of Dental Science& Research, Trichur.",,PEDIATRIC AND PREVENTIVE DENTISTRY,MM,7042,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,PERIODONTOLOGY,STATE MERIT,7120,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sree Anjaneya Institute of Dental Sciences, Kozhikode",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,7239,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sree Anjaneya Institute of Dental Sciences, Kozhikode",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,7331,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sree Anjaneya Institute of Dental Sciences, Kozhikode",,PEDIATRIC AND PREVENTIVE DENTISTRY,BACKWARD HINDU,7352,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sree Anjaneya Institute of Dental Sciences, Kozhikode",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,7428,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,7490,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Mar Baselios Dental College, Ernakulam.",,PERIODONTOLOGY,STATE MERIT,7523,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,7579,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Royal Dental College , Palakkad.",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,7662,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
