college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Government of Dental College and Hospital Jaipur, Near T.B. Hospital",,PEDIATRIC AND PREVENTIVE DENTISTRY,SC,1511,2025,MCC,MDS,Round 2,Rajasthan,Government,All India
"Goa Dental College and Hospital, Goa",,PERIODONTOLOGY,NO,1531,2025,MCC,MDS,Round 2,,Government,All India
"- - - - All India Government Dental College and Hospital, Aurangabad",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,1558,2025,MCC,MDS,Round 2,,Government,
"Government Dental College, Thiruvananthapuram",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,1575,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College and Research Institute, Bangalore",,ORAL PATHOLOGY AND MICROBIOLOGY,OPEN GENERAL,1611,2025,MCC,MDS,Round 2,,Government,All India
"Dr. R. Ahmed Dental College and Hospital, Kolkata",,PEDIATRIC AND PREVENTIVE DENTISTRY,NO,1617,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,PEDIATRIC AND PREVENTIVE DENTISTRY,OPEN GENERAL,1628,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College and Hospital, Patiala",,PROSTHODONTICS AND CROWN & BRIDGE,ST,1629,2025,MCC,MDS,Round 2,Punjab,Government,All India
"Govt. Dental College and Hospital, Jamnagar",,ORAL AND MAXILLOFACIAL SURGERY,REPORTED,1632,2025,MCC,MDS,Round 2,,Government,All India
"Mahatma Gandhi PG Sciences, Puducherry",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,1639,2025,MCC,MDS,Round 2,,Government,All India
"Goa Dental College and Hospital, Goa",,PERIODONTOLOGY,OPEN GENERAL,1679,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College and Hospital, Aurangabad",,ORAL MEDICINE AND RADIOLOGY,OPEN GENERAL,1695,2025,MCC,MDS,Round 2,,Government,All India
"- - - - Management/ Paid Seats Meenakshi Ammal Dental College and Host., Chennai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,1718,2025,MCC,MDS,Round 2,Tamil Nadu,Government,
"Dr. R. Ahmed Dental College and Hospital, Kolkata",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,1768,2025,MCC,MDS,Round 2,,Government,All India
RIMS,,ORAL AND MAXILLOFACIAL SURGERY,REPORTED,1779,2025,MCC,MDS,Round 2,,Government,All India
Govt dental College Raipur Chhattisgarh,,PROSTHODONTICS AND CROWN & BRIDGE,NO,1789,2025,MCC,MDS,Round 2,,Government,All India
- - - - - - Not Allotted. 580 1840 Manageme nt/Paid Seats Manipal College of Dental Science,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,1820,2025,MCC,MDS,Round 2,,Government,
"S.C.B Dental College and Hospital, Cuttack",,PUBLIC HEALTH DENTISTRY,OPEN GENERAL,1868,2025,MCC,MDS,Round 2,,Government,All India
"- - - - - - No Upgradation 588 1882 Manageme nt/Paid Seats Amrita School of Dentistry, Kochi",,CONSERVATIVE DENTISTRY AND ENDODONTICS,REPORTED,1869,2025,MCC,MDS,Round 2,,Government,
- - - - Management/ Paid Seats KLE VK Inst. of Dental Scie. Belagavi,,PROSTHODONTICS AND CROWN & BRIDGE,NO,1917,2025,MCC,MDS,Round 2,,Government,
"Indira Gandhi Govt. Dental College, Jammu",,PUBLIC HEALTH DENTISTRY,OPEN GENERAL,1956,2025,MCC,MDS,Round 2,,Government,All India
"Dr. R. Ahmed Dental College and Hospital, Kolkata",,ORAL PATHOLOGY AND MICROBIOLOGY,OPEN GENERAL,2009,2025,MCC,MDS,Round 2,,Government,All India
"- - - - All India Govt. Dental College & Hospital, Srinagar",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,2019,2025,MCC,MDS,Round 2,,Government,
"Government Dental College and Hospital, Patiala",,PERIODONTOLOGY,SC,2038,2025,MCC,MDS,Round 2,Punjab,Government,All India
"- - - - All India Institute of Medical Science, BHU",,PEDIATRIC AND PREVENTIVE DENTISTRY,NO,2054,2025,MCC,MDS,Round 2,,Government,
"Post Graduate Sciences, Rohtak",,PERIODONTOLOGY,OPEN GENERAL,2089,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Kottayam",,CONSERVATIVE DENTISTRY AND ENDODONTICS,REPORTED,2113,2025,MCC,MDS,Round 2,,Government,All India
Management/ Paid Seats KLE VK Inst. of Dental Scie. Belagavi,,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,2123,2025,MCC,MDS,Round 2,Karnataka,Government,
"- - - - All India S.C.B Dental College and Hospital, Cuttack",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,2132,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats Bharati Vidyapeeth DU Dental College and Hospt., Pune",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,2176,2025,MCC,MDS,Round 2,Maharashtra,Government,
"Delhi University Maulana Azad Science, New Delhi",,PEDIATRIC AND PREVENTIVE DENTISTRY,OPEN GENERAL,2201,2025,MCC,MDS,Round 2,,Government,
"- - - - All India Government Dental College and Hospital, Shimla",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,2210,2025,MCC,MDS,Round 2,,Government,
"Science, BHU",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,2221,2025,MCC,MDS,Round 2,,Government,Banaras Hindu University
"S.C.B Dental College and Hospital, Cuttack",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,2224,2025,MCC,MDS,Round 2,,Government,All India
"Govt. Dental College & Hospital, Srinagar",,CONSERVATIVE DENTISTRY AND ENDODONTICS,REPORTED,2233,2025,MCC,MDS,Round 2,,Government,All India
Government of Dental College and Hospital Jaipur,,PEDIATRIC AND PREVENTIVE DENTISTRY,NO,2239,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Chennai",,PERIODONTOLOGY,NO,2287,2025,MCC,MDS,Round 2,,Government,All India
Management/ Paid Seats KLE VK Inst. of Dental Scie. Belagavi,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,2341,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats Dr. DY Patil Dental College and Hosp. Pune, Sant Tukaram Nagar",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,2504,2025,MCC,MDS,Round 2,,Government,
"Muslim Minority Yenepoya Dental College, Yenepoya",,ORAL AND MAXILLOFACIAL SURGERY,NO,2534,2025,MCC,MDS,Round 2,,Government,
"- - - - - - Did not opt for Upgradation. 673 2615 Manageme nt/Paid Seats Saveetha Dental College, Chennai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,2603,2025,MCC,MDS,Round 2,,Government,
RIMS,,PROSTHODONTICS AND CROWN & BRIDGE,ST,2676,2025,MCC,MDS,Round 2,Andhra Pradesh,Government,All India
"- - - - All India Indira Gandhi Govt. Dental College, Jammu",,ORAL PATHOLOGY AND MICROBIOLOGY,NO,2683,2025,MCC,MDS,Round 2,Jammu And Kashmir,Government,
"Govt. Dental College and Hospital, Jamnagar",,ORAL MEDICINE AND RADIOLOGY,ST,2747,2025,MCC,MDS,Round 2,Gujarat,Government,All India
"Govt. Dental College and Hospital, Cuddalore Dt",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NOT,2787,2025,MCC,MDS,Round 2,,Government,All India
"Goa Dental College and Hospital, Goa",,PERIODONTOLOGY,ST,2808,2025,MCC,MDS,Round 2,Goa,Government,All India
"Jain Minority K M Shah Dental College, SumanDeep Vidyapeeth",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,2829,2025,MCC,MDS,Round 2,,Government,
