college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Govt.Dental College, Kottayam","KTD","Orthodontics and Dentofacial Orthopaedics","SM",16,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Orthodontics and Dentofacial Orthopaedics","SM",17,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Conservative Dentistry and Endodontics","SM",19,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Prosthodontics and Crown and Bridge","SM",27,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kozhikode","KKD","Prosthodontics and Crown and Bridge","SM",49,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Pedodontics and Preventive Dentistry","SM",64,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kottayam","KTD","Oral & Maxillo Facial Surgery","SM",74,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Periodontology","SM",76,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kottayam","KTD","Prosthodontics and Crown and Bridge","MU",86,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kozhikode","KKD","Oral & Maxillo Facial Surgery","SM",93,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Prosthodontics and Crown and Bridge","BH",98,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kottayam","KTD","Periodontology","SM",114,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Periodontology","MU",119,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kottayam","KTD","Oral & Maxillo Facial Surgery","EZ",127,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kozhikode","KKD","Periodontology","BH",236,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kottayam","KTD","Oral Medicine & Radiology","SM",243,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Thiruvananthapuram","TVD","Oral Medicine & Radiology","SM",273,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kozhikode","KKD","Oral Medicine & Radiology","EZ",312,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
"Govt.Dental College, Kottayam","KTD","Oral Pathology & Microbiology","SM",321,2024,"Kerala CEE","MDS","Round 1","Kerala","Government","State Quota"
